G7,103,3135.963
G6,91,1567.982
G5,79,783.991
G4,67,391.995
G3,55,195.998
G2,43,97.999
G1,31,48.999
Eb4,63,311.127
Eb5,75,622.254
Eb6,87,1244.508
Eb7,99,2489.016
Eb1,27,38.891
Eb2,39,77.782
Eb3,51,155.563
Db1,25,34.648
E7,100,2637.02
Db2,37,69.296
Db5,73,554.365
B4,71,493.883
B5,83,987.767
B6,95,1975.533
B7,107,3951.066
B0,23,30.868
E3,52,164.814
B2,47,123.471
B3,59,246.942
Db6,85,1108.731
E5,76,659.255
E4,64,329.628
Db3,49,138.591
E6,88,1318.51
E1,28,41.203
Db4,61,277.183
Db7,97,2217.461
E2,40,82.407
Gb6,90,1479.978
Gb7,102,2959.955
Gb4,66,369.994
Gb5,78,739.989
Gb2,42,92.499
Gb3,54,184.997
Gb1,30,46.249
C8,108,4186.009
C3,48,130.813
C2,36,65.406
C1,24,32.703
C7,96,2093.005
C6,84,1046.502
C5,72,523.251
C4,60,261.626
Bb7,106,3729.31
Bb6,94,1864.655
Bb5,82,932.328
Bb4,70,466.164
Bb3,58,233.082
Bb2,46,116.541
Bb1,34,58.27
Bb0,22,29.135
F1,29,43.654
F2,41,87.307
F3,53,174.614
F4,65,349.228
F5,77,698.456
F6,89,1396.913
F7,101,2793.826
B1,35,61.735
A1,33,55.0
A0,21,27.5
A3,57,220.0
A2,45,110.0
A5,81,880.0
A4,69,440.0
A7,105,3520.0
A6,93,1760.0
Ab1,32,51.913
Ab2,44,103.826
Ab3,56,207.652
Ab4,68,415.305
Ab5,80,830.609
Ab6,92,1661.219
Ab7,104,3322.438
D6,86,1174.659
D7,98,2349.318
D4,62,293.665
D5,74,587.33
D2,38,73.416
D3,50,146.832
D1,26,36.708
